ID,Gender,Married,Age,Graduated,Profession,Work_Experience,Family_Size,Spending_Score
462809,Male,No,22,No,Healthcare,1,4,Low
462643,Female,Yes,38,Yes,Engineer,,3,Average
466315,Female,Yes,67,Yes,Engineer,1,1,Low
461735,Male,Yes,67,Yes,Lawyer,0,2,High
462669,Female,Yes,40,Yes,Entertainment,,6,High
461319,Male,Yes,56,No,Artist,0,2,Average
460156,Male,No,32,Yes,Healthcare,1,3,Low
464347,Female,No,33,Yes,Healthcare,1,3,Low
465015,Female,Yes,61,Yes,Engineer,0,3,Low
465176,Female,Yes,55,Yes,Artist,1,4,Average
464041,Female,No,26,Yes,Engineer,1,3,Low
464942,Male,No,19,No,Healthcare,4,4,Low
461230,Female,No,19,No,Executive,0,,Low
459573,Male,Yes,70,No,Lawyer,,1,Low
460849,Female,Yes,58,No,Doctor,0,1,Low
460563,Female,No,41,No,Healthcare,1,2,Low
466865,Female,No,32,No,Homemaker,9,5,Low
461644,Male,No,31,No,Healthcare,1,6,Low
466772,Male,Yes,58,Yes,Entertainment,1,4,Average
464291,Female,Yes,79,Yes,Artist,0,1,High
466084,Male,Yes,49,Yes,Homemaker,12,1,Low
459675,Female,No,18,No,Healthcare,3,4,Low
465602,Male,Yes,33,Yes,Artist,13,2,Low
459168,Female,No,36,Yes,Artist,5,2,Low
461021,Female,,58,No,Executive,1,3,Average
465083,Male,Yes,56,No,Artist,1,3,Average
467604,Male,No,31,No,Healthcare,9,8,Low
459717,Male,Yes,49,Yes,Artist,1,3,Average
465882,Male,No,35,Yes,Artist,0,1,Low
461996,Female,No,35,No,Artist,5,4,Low
463331,Female,Yes,45,Yes,Artist,0,3,Low
462216,Female,Yes,42,No,Doctor,1,2,Low
462454,Male,No,19,No,Healthcare,1,3,Low
467010,Male,No,26,No,Homemaker,9,,Low
459861,Female,Yes,83,No,Lawyer,1,2,High
467917,Female,No,27,Yes,Healthcare,3,4,Low
465572,Male,No,32,No,Doctor,5,1,Low
460593,Female,Yes,28,No,Healthcare,1,5,Average
465891,Female,Yes,28,Yes,Artist,8,2,Low
467442,Male,Yes,56,Yes,Artist,,2,Average
462044,Female,No,47,Yes,Artist,4,1,Low
465686,Female,No,22,No,Healthcare,0,2,Low
464590,Female,No,27,Yes,Artist,14,3,Low
466006,Female,Yes,49,Yes,Artist,1,2,Low
466152,Male,Yes,40,No,Engineer,8,1,Low
463156,Female,Yes,79,No,Lawyer,,2,High
465729,Male,Yes,41,Yes,Artist,0,4,Average
462384,Female,No,29,Yes,Healthcare,,1,Low
462442,Male,No,19,No,Healthcare,0,4,Low
464191,Female,No,45,Yes,Engineer,1,1,Low
462078,Female,Yes,61,No,Artist,1,2,Average
467873,Female,Yes,36,Yes,Artist,1,2,Average
461270,Male,Yes,40,Yes,Artist,1,1,Low
462960,Female,Yes,57,Yes,Entertainment,0,2,Average
464961,Male,Yes,76,No,Marketing,1,1,Low
462110,Male,Yes,32,Yes,Artist,14,2,Average
465769,Male,No,25,Yes,Healthcare,9,4,Low
462267,Male,No,32,,Doctor,8,2,Low
465269,Female,Yes,45,Yes,Artist,1,3,Average
460881,Male,Yes,72,Yes,Lawyer,1,,Low
461891,Male,Yes,48,Yes,Artist,0,2,Average
466935,Male,Yes,55,Yes,Artist,9,2,Average
464091,Male,Yes,74,Yes,Lawyer,0,3,High
464535,Male,Yes,56,Yes,Lawyer,1,2,High
463108,Male,Yes,59,Yes,Lawyer,7,2,High
461356,Male,No,25,Yes,Entertainment,0,2,Low
464570,Male,Yes,31,Yes,Doctor,0,2,Average
464580,Male,No,27,No,Artist,8,4,Low
465233,Male,Yes,57,Yes,Artist,0,4,Average
467208,Female,Yes,39,Yes,Homemaker,,2,High
459954,Male,Yes,27,Yes,Healthcare,8,2,Low
